DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-01,1325,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-02,1025,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-03,1120,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-04,1190,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-05,1520,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-06,1585,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-07,2010,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-08,2255,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-09,3085,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-10,2975,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-11,3540,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2014-12,4050,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2015-01,3875,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2015-02,3060,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2015-03,2770,
ESTAT:MIGR_ASYAPPCTZM(1.0),15/07/22 23:00:00,M,PER,EXT_EU28,T,TOTAL,NASY_APP,AT,2015-04,3715,
